epoch,bestFitness,averageFitness,minFitness
0,0.7,0.5671999999999998,0.46
1,0.72,0.6122,0.58
2,0.72,0.6369999999999992,0.6
3,0.76,0.6631999999999998,0.62
4,0.76,0.6873999999999986,0.66
5,0.76,0.7092000000000013,0.68
6,0.78,0.7306000000000001,0.7
7,0.78,0.7498000000000004,0.74
8,0.78,0.7605999999999997,0.74
9,0.78,0.7636000000000003,0.76
10,0.8,0.7670000000000001,0.76
11,0.8,0.773000000000001,0.76
12,0.8,0.7804000000000008,0.78
13,0.8,0.7808000000000008,0.78
14,0.8,0.7826000000000007,0.78
15,0.82,0.7858000000000008,0.78
16,0.82,0.7914000000000003,0.78
17,0.82,0.8013999999999986,0.8
18,0.82,0.8051999999999984,0.8
19,0.84,0.812199999999999,0.8
20,0.84,0.8213999999999986,0.82
21,0.84,0.8243999999999986,0.82
22,0.84,0.8291999999999987,0.82
23,0.86,0.8370000000000001,0.82
24,0.88,0.844600000000002,0.84
25,0.88,0.8514000000000013,0.84
26,0.88,0.8607999999999996,0.86
27,0.88,0.8615999999999996,0.86
28,0.88,0.8641999999999996,0.86
29,0.9,0.8693999999999998,0.86
30,0.9,0.8776,0.86
31,0.9,0.8813999999999996,0.88
32,0.9,0.8825999999999995,0.88
33,0.9,0.8845999999999995,0.88
34,0.9,0.8885999999999992,0.88
35,0.92,0.8981999999999997,0.88
36,0.92,0.903600000000001,0.9
37,0.92,0.9092000000000019,0.9
38,0.92,0.9186000000000017,0.9
39,0.92,0.9200000000000014,0.92
40,0.92,0.9200000000000014,0.92
41,0.92,0.9200000000000014,0.92
42,0.92,0.9200000000000014,0.92
43,0.92,0.9200000000000014,0.92
44,0.92,0.9200000000000014,0.92
45,0.92,0.9200000000000014,0.92
46,0.92,0.9200000000000014,0.92
47,0.92,0.9200000000000014,0.92
48,0.94,0.9202000000000014,0.92
49,0.94,0.9206000000000013,0.92
50,0.94,0.9212000000000014,0.92
51,0.94,0.9222000000000012,0.92
52,0.94,0.9246000000000012,0.92
53,0.94,0.9290000000000007,0.92
54,0.94,0.9359999999999995,0.92
55,0.96,0.9403999999999987,0.94
